page_id,pagerank_score,page_id_from,page_title_from,article name,wikipedia link
534366,9.01628818732674e-05,534366,Barack Obama,Barack Obama,https://en.wikipedia.org/wiki/Barack_Obama
5233,8.683666264159736e-05,5233,Carl Linnaeus,Carl Linnaeus,https://en.wikipedia.org/wiki/Carl_Linnaeus
69880,8.403170245081305e-05,69880,Napoleon,Napoleon,https://en.wikipedia.org/wiki/Napoleon
12153654,7.98321366349883e-05,12153654,Elizabeth II,Elizabeth II,https://en.wikipedia.org/wiki/Elizabeth_II
1095706,7.295124313696195e-05,1095706,Jesus,Jesus,https://en.wikipedia.org/wiki/Jesus
3414021,7.272324922133602e-05,3414021,George W. Bush,George W. Bush,https://en.wikipedia.org/wiki/George_W._Bush
10979,6.567598237510745e-05,10979,Franklin D. Roosevelt,Franklin D. Roosevelt,https://en.wikipedia.org/wiki/Franklin_D._Roosevelt
32897,6.259841690533519e-05,32897,William Shakespeare,William Shakespeare,https://en.wikipedia.org/wiki/William_Shakespeare
308,6.0142246380385794e-05,308,Aristotle,Aristotle,https://en.wikipedia.org/wiki/Aristotle
2731583,5.774640933640819e-05,2731583,Adolf Hitler,Adolf Hitler,https://en.wikipedia.org/wiki/Adolf_Hitler
3356,5.627024285329538e-05,3356,Bill Clinton,Bill Clinton,https://en.wikipedia.org/wiki/Bill_Clinton
25433,5.221153304705836e-05,25433,Ronald Reagan,Ronald Reagan,https://en.wikipedia.org/wiki/Ronald_Reagan
47923,4.8739673081019206e-05,47923,Queen Victoria,Queen Victoria,https://en.wikipedia.org/wiki/Queen_Victoria
4848272,4.726901783387784e-05,4848272,Donald Trump,Donald Trump,https://en.wikipedia.org/wiki/Donald_Trump
25473,4.522968225800108e-05,25473,Richard Nixon,Richard Nixon,https://en.wikipedia.org/wiki/Richard_Nixon
15641,4.283805114023255e-05,15641,Joseph Stalin,Joseph Stalin,https://en.wikipedia.org/wiki/Joseph_Stalin
307,4.230387630452581e-05,307,Abraham Lincoln,Abraham Lincoln,https://en.wikipedia.org/wiki/Abraham_Lincoln
33265,4.2269884545134985e-05,33265,Winston Churchill,Winston Churchill,https://en.wikipedia.org/wiki/Winston_Churchill
22954,4.090165859281902e-05,22954,Plato,Plato,https://en.wikipedia.org/wiki/Plato
11968,4.0731972080251946e-05,11968,George Washington,George Washington,https://en.wikipedia.org/wiki/George_Washington
5119376,4.043362740781823e-05,5119376,John F. Kennedy,John F. Kennedy,https://en.wikipedia.org/wiki/John_F._Kennedy
18934,3.773888083893163e-05,18934,Muhammad,Muhammad,https://en.wikipedia.org/wiki/Muhammad
783,3.617967485755041e-05,783,Alexander the Great,Alexander the Great,https://en.wikipedia.org/wiki/Alexander_the_Great
8182,3.580345543419935e-05,8182,Dwight D. Eisenhower,Dwight D. Eisenhower,https://en.wikipedia.org/wiki/Dwight_D._Eisenhower
8145410,3.574688462821942e-05,8145410,Charles Darwin,Charles Darwin,https://en.wikipedia.org/wiki/Charles_Darwin
54533,3.522947800261602e-05,54533,Lyndon B. Johnson,Lyndon B. Johnson,https://en.wikipedia.org/wiki/Lyndon_B._Johnson
29922,3.48403192164479e-05,29922,Thomas Jefferson,Thomas Jefferson,https://en.wikipedia.org/wiki/Thomas_Jefferson
1273,3.451986116834421e-05,1273,Augustus,Augustus,https://en.wikipedia.org/wiki/Augustus
30535,3.438085953089595e-05,30535,Theodore Roosevelt,Theodore Roosevelt,https://en.wikipedia.org/wiki/Theodore_Roosevelt
23805,3.4227918412479154e-05,23805,Pope John Paul II,Pope John Paul II,https://en.wikipedia.org/wiki/Pope_John_Paul_II
736,3.377125207805641e-05,736,Albert Einstein,Albert Einstein,https://en.wikipedia.org/wiki/Albert_Einstein
11955,3.337664076517059e-05,11955,George H. W. Bush,George H. W. Bush,https://en.wikipedia.org/wiki/George_H._W._Bush
5043192,3.29465212551736e-05,5043192,Hillary Clinton,Hillary Clinton,https://en.wikipedia.org/wiki/Hillary_Clinton
16743,3.2923339408340066e-05,16743,Karl Marx,Karl Marx,https://en.wikipedia.org/wiki/Karl_Marx
15924,3.221842940988363e-05,15924,Julius Caesar,Julius Caesar,https://en.wikipedia.org/wiki/Julius_Caesar
46688,3.190899805983458e-05,46688,Charles II of England,Charles II of England,https://en.wikipedia.org/wiki/Charles_II_of_England
44920,3.1269489863923387e-05,44920,Pliny the Elder,Pliny the Elder,https://en.wikipedia.org/wiki/Pliny_the_Elder
